iter	Passed	Remaining
0	34	34066
1	57	28915
2	86	28646
3	106	26559
4	124	24815
5	147	24363
6	167	23716
7	192	23915
8	230	25354
9	258	25607
10	276	24871
11	292	24087
12	310	23597
13	327	23081
14	344	22645
15	361	22257
16	378	21898
17	395	21591
18	412	21323
19	430	21090
20	447	20882
21	465	20679
22	482	20494
23	499	20323
24	517	20175
25	535	20056
26	558	20127
27	586	20356
28	615	20605
29	641	20748
30	659	20624
31	679	20542
32	697	20431
33	716	20344
34	733	20227
35	751	20112
36	768	19995
37	785	19887
38	802	19769
39	827	19868
40	855	19999
41	878	20045
42	903	20116
43	934	20295
44	962	20420
45	989	20519
46	1016	20613
47	1043	20704
48	1066	20695
49	1085	20623
50	1103	20526
51	1131	20622
52	1162	20768
53	1186	20781
54	1203	20682
55	1226	20671
56	1246	20621
57	1269	20611
58	1288	20550
59	1305	20458
60	1326	20419
61	1352	20469
62	1373	20424
63	1391	20347
64	1409	20276
65	1437	20341
66	1459	20327
67	1482	20318
68	1500	20239
69	1516	20150
70	1532	20056
71	1561	20122
72	1591	20206
73	1620	20273
74	1638	20212
75	1656	20136
76	1673	20061
77	1694	20024
78	1711	19955
79	1729	19884
80	1746	19811
81	1768	19799
82	1791	19794
83	1829	19945
84	1861	20040
85	1890	20090
86	1923	20188
87	1954	20255
88	1973	20202
89	1994	20169
90	2023	20215
91	2041	20152
92	2060	20093
93	2087	20116
94	2106	20068
95	2129	20048
96	2146	19980
97	2163	19913
98	2179	19832
99	2200	19802
100	2219	19755
101	2253	19839
102	2281	19867
103	2300	19816
104	2322	19792
105	2351	19833
106	2374	19814
107	2396	19795
108	2413	19731
109	2431	19669
110	2448	19607
111	2466	19552
112	2483	19490
113	2508	19497
114	2528	19457
115	2556	19481
116	2583	19499
117	2608	19500
118	2633	19500
119	2667	19561
120	2683	19491
121	2703	19458
122	2722	19411
123	2746	19402
124	2769	19384
125	2796	19396
126	2815	19351
127	2844	19376
128	2867	19360
129	2892	19357
130	2914	19333
131	2932	19284
132	2952	19249
133	2991	19330
134	3014	19315
135	3033	19269
136	3052	19227
137	3073	19197
138	3092	19157
139	3113	19124
140	3131	19078
141	3150	19033
142	3168	18989
143	3192	18976
144	3232	19059
145	3254	19034
146	3273	18994
147	3297	18983
148	3319	18959
149	3348	18972
150	3370	18948
151	3387	18901
152	3407	18865
153	3438	18888
154	3461	18872
155	3483	18845
156	3502	18806
157	3526	18792
158	3546	18759
159	3578	18789
160	3606	18791
161	3631	18782
162	3651	18752
163	3676	18743
164	3698	18714
165	3717	18678
166	3739	18650
167	3756	18604
168	3773	18557
169	3791	18510
170	3809	18467
171	3837	18474
172	3866	18484
173	3892	18479
174	3913	18447
175	3932	18412
176	3952	18379
177	3976	18364
178	4001	18353
179	4043	18422
180	4075	18442
181	4098	18419
182	4117	18382
183	4141	18366
184	4163	18341
185	4184	18314
186	4209	18300
187	4239	18309
188	4264	18297
189	4283	18260
190	4305	18235
191	4324	18198
192	4342	18156
193	4362	18126
194	4382	18090
195	4405	18072
196	4426	18042
197	4452	18032
198	4469	17990
199	4490	17961
200	4512	17939
201	4538	17929
202	4569	17938
203	4599	17947
204	4628	17948
205	4660	17963
206	4687	17958
207	4708	17927
208	4729	17899
209	4750	17870
210	4771	17842
211	4788	17800
212	4833	17859
213	4862	17860
214	4885	17836
215	4906	17809
216	4930	17788
217	4948	17750
218	4965	17708
219	4983	17668
220	4999	17624
221	5016	17581
222	5034	17540
223	5051	17500
224	5068	17459
225	5096	17454
226	5118	17430
227	5135	17387
228	5151	17345
229	5169	17306
230	5186	17264
231	5203	17224
232	5220	17185
233	5237	17145
234	5254	17104
235	5271	17066
236	5293	17043
237	5310	17003
238	5327	16963
239	5344	16924
240	5362	16888
241	5384	16866
242	5408	16848
243	5439	16854
244	5462	16832
245	5483	16807
246	5505	16784
247	5533	16777
248	5562	16776
249	5590	16770
250	5616	16760
251	5635	16726
252	5653	16692
253	5672	16660
254	5691	16628
255	5708	16591
256	5729	16564
257	5751	16539
258	5775	16523
259	5801	16512
260	5835	16522
261	5865	16520
262	5892	16512
263	5918	16498
264	5938	16472
265	5956	16436
266	5973	16400
267	5991	16364
268	6009	16330
269	6027	16297
270	6045	16263
271	6062	16226
272	6079	16190
273	6099	16162
274	6117	16126
275	6139	16104
276	6159	16076
277	6183	16060
278	6204	16034
279	6232	16026
280	6260	16019
281	6286	16005
282	6308	15983
283	6326	15951
284	6343	15915
285	6360	15879
286	6380	15850
287	6398	15817
288	6415	15782
289	6432	15747
290	6449	15714
291	6467	15680
292	6484	15648
293	6507	15627
294	6541	15632
295	6574	15635
296	6600	15624
297	6623	15602
298	6655	15603
299	6676	15578
300	6697	15554
301	6716	15524
302	6738	15500
303	6757	15471
304	6776	15440
305	6792	15405
306	6809	15371
307	6826	15337
308	6853	15325
309	6879	15313
310	6900	15287
311	6922	15264
312	6939	15232
313	6959	15205
314	6977	15172
315	6995	15142
316	7013	15111
317	7030	15078
318	7047	15043
319	7063	15010
320	7081	14980
321	7099	14947
322	7116	14915
323	7133	14883
324	7150	14851
325	7168	14820
326	7185	14788
327	7202	14756
328	7220	14726
329	7237	14694
330	7254	14662
331	7271	14630
332	7289	14600
333	7306	14569
334	7324	14539
335	7341	14508
336	7359	14477
337	7376	14447
338	7393	14416
339	7410	14385
340	7427	14354
341	7444	14322
342	7462	14293
343	7479	14263
344	7506	14251
345	7530	14234
346	7560	14227
347	7586	14214
348	7610	14195
349	7628	14166
350	7648	14141
351	7666	14112
352	7682	14081
353	7699	14050
354	7717	14021
355	7733	13990
356	7750	13960
357	7768	13930
358	7785	13901
359	7803	13872
360	7822	13845
361	7848	13832
362	7871	13813
363	7888	13783
364	7906	13754
365	7923	13724
366	7940	13695
367	7957	13665
368	7974	13636
369	7991	13606
370	8009	13579
371	8026	13550
372	8044	13521
373	8061	13492
374	8078	13463
375	8095	13434
376	8112	13405
377	8129	13377
378	8146	13348
379	8163	13319
380	8181	13291
381	8197	13262
382	8215	13234
383	8232	13206
384	8249	13177
385	8266	13149
386	8283	13120
387	8300	13093
388	8318	13066
389	8335	13038
390	8365	13029
391	8386	13007
392	8404	12980
393	8424	12957
394	8441	12929
395	8459	12902
396	8476	12875
397	8502	12860
398	8533	12854
399	8561	12841
400	8584	12822
401	8601	12795
402	8619	12768
403	8638	12744
404	8656	12717
405	8675	12692
406	8694	12668
407	8716	12647
408	8735	12622
409	8758	12604
410	8775	12575
411	8798	12557
412	8835	12558
413	8863	12546
414	8881	12519
415	8898	12492
416	8917	12467
417	8935	12440
418	8951	12413
419	8969	12386
420	8987	12360
421	9005	12334
422	9023	12308
423	9040	12281
424	9058	12255
425	9099	12260
426	9139	12264
427	9181	12271
428	9198	12243
429	9216	12217
430	9258	12223
431	9280	12202
432	9299	12178
433	9317	12151
434	9335	12124
435	9352	12097
436	9370	12072
437	9389	12048
438	9408	12023
439	9426	11997
440	9454	11983
441	9481	11969
442	9499	11943
443	9517	11918
444	9536	11893
445	9554	11867
446	9571	11841
447	9588	11814
448	9606	11788
449	9622	11761
450	9640	11735
451	9659	11710
452	9677	11685
453	9693	11658
454	9710	11631
455	9728	11606
456	9746	11580
457	9766	11557
458	9801	11552
459	9827	11536
460	9850	11517
461	9868	11491
462	9885	11465
463	9904	11441
464	9922	11416
465	9939	11390
466	9957	11364
467	9975	11339
468	9992	11313
469	10010	11288
470	10031	11267
471	10052	11244
472	10072	11222
473	10090	11197
474	10118	11183
475	10150	11174
476	10176	11157
477	10202	11141
478	10229	11126
479	10252	11107
480	10275	11087
481	10298	11067
482	10323	11050
483	10345	11029
484	10369	11010
485	10387	10986
486	10411	10967
487	10437	10951
488	10466	10937
489	10490	10918
490	10513	10898
491	10538	10881
492	10557	10857
493	10580	10837
494	10605	10819
495	10629	10801
496	10651	10780
497	10672	10757
498	10690	10733
499	10709	10709
500	10728	10685
501	10751	10665
502	10773	10644
503	10792	10620
504	10814	10600
505	10835	10578
506	10859	10559
507	10880	10537
508	10902	10517
509	10923	10495
510	10946	10475
511	10966	10452
512	10988	10431
513	11010	10410
514	11031	10388
515	11053	10367
516	11076	10347
517	11097	10325
518	11114	10300
519	11134	10278
520	11156	10257
521	11177	10235
522	11198	10213
523	11221	10193
524	11239	10169
525	11258	10145
526	11279	10123
527	11296	10098
528	11312	10072
529	11330	10047
530	11347	10022
531	11364	9997
532	11381	9972
533	11398	9946
534	11417	9923
535	11445	9908
536	11468	9887
537	11485	9862
538	11501	9837
539	11520	9814
540	11538	9789
541	11554	9764
542	11572	9739
543	11589	9714
544	11606	9689
545	11623	9664
546	11640	9639
547	11656	9614
548	11673	9589
549	11690	9565
550	11707	9540
551	11724	9515
552	11740	9490
553	11757	9465
554	11775	9441
555	11792	9416
556	11809	9392
557	11827	9368
558	11862	9358
559	11908	9356
560	11958	9358
561	12015	9364
562	12032	9339
563	12051	9316
564	12072	9294
565	12101	9278
566	12139	9270
567	12164	9251
568	12183	9228
569	12201	9204
570	12219	9180
571	12242	9160
572	12264	9139
573	12283	9115
574	12311	9100
575	12329	9076
576	12346	9051
577	12364	9027
578	12380	9002
579	12397	8977
580	12414	8952
581	12432	8929
582	12450	8905
583	12468	8881
584	12485	8857
585	12501	8832
586	12518	8807
587	12535	8783
588	12552	8758
589	12569	8734
590	12587	8710
591	12605	8687
592	12623	8663
593	12640	8639
594	12658	8616
595	12680	8595
596	12698	8572
597	12716	8548
598	12733	8524
599	12754	8502
600	12771	8478
601	12792	8457
602	12817	8438
603	12840	8418
604	12858	8395
605	12876	8371
606	12894	8348
